Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module
Sportmedizin,CPPRA230,Lecture with Practical Exercises,Stefan Fröhlich,German,"Chiropractic Courses MCM2a: Chiro Tech, NMS Diagnosis, Clin. Problem Solving,"
MCM2a: Klinische Neurologie,CPPRA209,Lecture with Practical Exercises,Susanne Friedl,German,"Chiropractic Courses MCM2a: Chiro Tech, NMS Diagnosis, Clin. Problem Solving,"
Mantelstudium: Schwerpunkt ChiropraktikII A,MAS2110,Lecture with Practical Exercises,Miklos Csato,German,Elective Module: Focus on chiropractic II A
Mantelstudium: Schwerpunkt ChiropraktikIII a,MAS3110,Lecture with Practical Exercises,Miklos Csato,German,Elective Module: Focus on chiropractic III A
Exkursion ans Stummfilmfestival Zürich,255l019a,Field Trip,Daniel Johannes Wiegand,German,Exkursion ans Stummfilmfestival Zürich
Bachelor Thesis Literature (Tjon-A-Meeuw),440-BAa,Bachelor Paper,N/A,English,Bachelor's Thesis
Short Internship: Englischsprachige Bücher einer historischen Kinderbuchsammlung,440l518a,Praktikum,Olivia Tjon-A-Meeuw,German,Short Internship: English Books in a Historical Children's Book Collection (Partner
Short Internship: Manuscripts and Monks on Wikipedia (Partner Institution: Stiftsbibliothek St. Gallen),440l519a,Praktikum,Nathalie Meyer,English,Short Internship: Manuscripts and Monks on Wikipedia (Partner Institution:
Advanced Research Internship in the VARIAGE Project,440l520a,Praktikum,Simone Pfenninger,English,Advanced Research Internship in the VARIAGE Project
Doctoral Colloquium in Corporate Finance,DOEC1190,Doktorandenseminar,Kjell G. Nyborg,English,Doctoral Colloquium in Corporate Finance II (S) HS24
(Wiederholungsprüfung) Fondamenti dilinguistica diacronica edialettologia,410-004a,Repetition exam (same semester),Federica Breimaier,Italian,Introduction to Diachronic Linguistics and Dialectology
Abaelard und Heloise (Mittellateinische Lektüre),324l600a,Exercise Group,N/A,German,Abelard and Heloise (Medieval Latin Reading Class)
Praktikum SKAN,360l140a,Praktikum,Anna Katharina Richter,German,Praktikum SKAN [s80]
"Klinischer Kurs Innere Medizin, im Spital Region Oberaargau",KUR416LT,Exercise Group,Claudia Brun del Re,German,"Clinical Courses III: Gynecology &amp; Obstetrics or Pediatrics, Family Medicine,"
"Internistischer Gruppenunterricht - stationär, im Spital Region Oberaargau",MED6020f,Kurs,N/A,German,"Clinical Courses V: Anesthesiology and Resuscitation, Surgery, Dermatology, Internal"
Generative KI und visuelle Kultur,255l522a,Colloquium,Roland Meyer,German,Generative KI und visuelle Kultur
Kurse Pathologie IV,PAT6050,Klinischer Kurs,Albert Baschong,German,"Clinical Courses V: Anesthesiology and Resuscitation, Surgery, Dermatology, Internal"
Masterarbeit,271-MAa,Master Paper,N/A,German,Master's Thesis
Einführung in die praktische Philosophie,160-004a,Exercise Group,Aline Rickli,German,Introduction to Practical Philosophy
Einführung in die Geschichte der Philosophie,160-009a,Exercise Group,Claire Field,German,Introduction to the history of philosophy
Doktorierendenkolloquium,506G905a,Colloquium,Silvy Chakkalakal,German,PhD Colloquium
Theoretische Philosophie und Geschichte der Philosophie,160-503a,Colloquium,Katia Saporiti,German,Research Colloquium
Sozialversicherungsrecht,90WM28-1,Course,Thomas Gächter,German,Social Insurance Law
"(G02) Masterarbeitsgruppe ""Entwicklungspsychologie: Erwachsenenalter""",200-901a,Exercise Group,Alexandra M. Freund,"German, English",Master's Working Group 1
(G04) Masterarbeitsgruppe «Gerontopsychologie»,200-901a,Exercise Group,Burcu Demiray,"German, English",Master's Working Group 1
"(G05) Masterarbeitsgruppe ""Allgemeine Psychologie: Kognition""",200-901a,Exercise Group,Klaus Oberauer,"German, English",Master's Working Group 1
"(G06) Masterarbeitsgruppe ""Psychologische Methodenlehre, Evaluation und Statistik""",200-901a,Exercise Group,Carolin Strobl,"German, English",Master's Working Group 1
"(G07) Masterarbeitsgruppe ""Klinische Entwicklungspsychologie""",200-901a,Exercise Group,Lilly Shanahan,"German, English",Master's Working Group 1
"(G08) Masterarbeitsgruppe ""Methoden der Plastizitätsforschung""",200-901a,Exercise Group,Nicolas Langer,"German, English",Master's Working Group 1
"(G09) Masterarbeitsgruppe ""Allgemeine Psychologie: Motivation""",200-901a,Exercise Group,Sebastian Ferdinand Bürgler,"German, English",Master's Working Group 1
"(G11) Masterarbeitsgruppe ""Arbeits- und Organisationspsychologie""",200-901a,Exercise Group,Johanna Bayon,"German, English",Master's Working Group 1
"(G13) Masterarbeitsgruppe ""Angewandte Sozial- und Gesundheitspsychologie""",200-901a,Exercise Group,Walter Bierbauer,"German, English",Master's Working Group 1
"(G14) Masterarbeitsgruppe ""Sozialpsychologie""",200-901a,Exercise Group,Léïla Eisner,"German, English",Master's Working Group 1
"(G15) Masterarbeitsgruppe ""Klinische Psychologie mit Schwerpunkt Kinder/Jugendliche und Paare/Familien""",200-901a,Exercise Group,Guy Bodenmann,"German, English",Master's Working Group 1
"(G16) Masterarbeitsgruppe ""KlinischePsychologie &amp; Psychotherapie""",200-901a,Exercise Group,Ulrike Ehlert,"German, English",Master's Working Group 1
"(G17) Masterarbeitsgruppe ""Gesundheitspsychologie des Kindes- und Jugendalters""",200-901a,Exercise Group,Markus Andreas Landolt,German,Master's Working Group 1
"(G18) Masterarbeitsgruppe ""Psychopathologie und Klinische Intervention 1/2""",200-901a,Exercise Group,Rahel Christina Bachem,"German, English",Master's Working Group 1
"(G19) Masterarbeitsgruppe ""Klinische Psychologie mit Schwerpunkt Psychotherapieforschung""",200-901a,Exercise Group,Marie Drüge,"German, English",Master's Working Group 1
"(G20) Masterarbeitsgruppe ""Experimentelle Psychopathologie und Psychotherapie""",200-901a,Exercise Group,Birgit Kleim,"German, English",Master's Working Group 1
"(G25) Masterarbeitsgruppe ""Neurolinguistik""",200-901a,Exercise Group,Philosophische Fakultät N.N.-Dozent,"German, English",Master's Working Group 1
"(G26) Masterarbeitsgruppe ""Behandlung von Substanzstörungen""",200-901a,Exercise Group,Michael Schaub,"German, English",Master's Working Group 1
Research Module 3: Fieldwork,721-553a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Research Module 3: Fieldwork
Research Module 3: Museum Research,721-554a,Praktikum,N/A,"German, English",Research Module 3: Museum Research
Research Module 3: Extended Literature Research,721-555a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Research Module 3: Extended Literature Research
"«Bibliothek zur glücklichen Zukunft» – Ethnologie, Engagement, Zürich",721k476a,Seminar,N/A,German,"„Towards a Happy Future"" - Anthropology, Engagement, Zurich"
Praktikum in einem Anwendungsbereich der Ethnologie  Beginn im Frühlingssemester 2024,721k475b,Praktikum,N/A,German,Internship in Applied Social Anthropology
Praktikum in einem Anwendungsbereich der Ethnologie  Beginn im Herbstsemester 2024,721l475a,Praktikum,N/A,German,Internship in Applied Social Anthropology
