Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module,Weekday,Daytime,Start Time,End Time
Erkenntnistheorie (Gaultier),160-017a,Selbststudium mit Leistungsnachweis,Benoit Gaultier,German,Epistemology,N/A,N/A,N/A,N/A
Erkenntnistheorie (Reuter),160-017a,Selbststudium mit Leistungsnachweis,Kevin Reuter,German,Epistemology,N/A,N/A,N/A,N/A
Erkenntnistheorie (Gubelmann),160-017a,Selbststudium mit Leistungsnachweis,Reto Gubelmann,German,Epistemology,N/A,N/A,N/A,N/A
Sprachphilosophie (Glock),160-018a,Selbststudium mit Leistungsnachweis,Hans-Johann Glock,German,Philosophy of language,N/A,N/A,N/A,N/A
Sprachphilosophie (Meylan),160-018a,Selbststudium mit Leistungsnachweis,Anne Meylan,German,Philosophy of language,N/A,N/A,N/A,N/A
Sprachphilosophie (Saporiti),160-018a,Selbststudium mit Leistungsnachweis,Katia Saporiti,German,Philosophy of language,N/A,N/A,N/A,N/A
Sprachphilosophie (Gubelmann),160-018a,Selbststudium mit Leistungsnachweis,Reto Gubelmann,German,Philosophy of language,N/A,N/A,N/A,N/A
Sprachphilosophie (Reuter),160-018a,Selbststudium mit Leistungsnachweis,Kevin Reuter,German,Philosophy of language,N/A,N/A,N/A,N/A
Philosophie der Antike und des Mittelalters (Vertiefung) (Halbig),160-505a,Selbststudium mit Leistungsnachweis,Christoph Halbig,German,Ancient and medieval philosophy (advanced),N/A,N/A,N/A,N/A
Philosophie der Antike und des Mittelalters (Vertiefung) (Meylan),160-505a,Selbststudium mit Leistungsnachweis,Anne Meylan,German,Ancient and medieval philosophy (advanced),N/A,N/A,N/A,N/A
Philosophie der Antike und des Mittelalters (Vertiefung) (Saporiti),160-505a,Selbststudium mit Leistungsnachweis,Katia Saporiti,German,Ancient and medieval philosophy (advanced),N/A,N/A,N/A,N/A
Philosophie der Antike und des Mittelalters (Vertiefung) (Weiner),160-505a,Selbststudium mit Leistungsnachweis,Sebastian Florian Weiner,German,Ancient and medieval philosophy (advanced),N/A,N/A,N/A,N/A
Philosophie der Neuzeit (Vertiefung) (Halbig),160-506a,Selbststudium mit Leistungsnachweis,Christoph Halbig,German,Modern philosophy (advanced),N/A,N/A,N/A,N/A
Philosophie der Neuzeit (Vertiefung) (Meylan),160-506a,Selbststudium mit Leistungsnachweis,Anne Meylan,German,Modern philosophy (advanced),N/A,N/A,N/A,N/A
Philosophie der Neuzeit (Vertiefung) (Saporiti),160-506a,Selbststudium mit Leistungsnachweis,Katia Saporiti,German,Modern philosophy (advanced),N/A,N/A,N/A,N/A
Integrated Knowledge of Biodiversity,EEE520,Master Paper,Arpat Ozgul,English,EEE 520 Integrated Knowledge of Biodiversity,N/A,N/A,N/A,N/A
Testtheorie,200-100a,Course,Lisa Wagner,German,Test Theory,Friday,Morning,10,12
DE.S410.1 Linguistik 1,360x410a,PHZH SEK I Module,Simone Berchtold Schiestl,German,DE.S410 Linguistik 1,Friday,Morning,8,9
DE.S410.2 Linguistik 1,360x410a,PHZH SEK I Module,Patrick Schetters,German,DE.S410 Linguistik 1,Friday,Morning,8,9
