Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module
Remote Sensing Seminar,GEO441.2,Lecture with Practical Exercises,David Small,English,GEO 441 Remote Sensing A: Seminar
Seminar plant-soil systems in a changing world. Stable isotop in geographical research,GEO820.1,Course,Guido Lars Bruno Wiesenberg,English,GEO 820 Stable isotopes in ecosystem science
Übungen zu Raumanalyse mit GIS; Gruppe 1,GEO243.2,Exercise Group,Robert Weibel,German,GEO 243 Remote Sensing and Geographic Information Science IV
Übungen zu Raumanalyse mit GIS; Gruppe 2,GEO243.2,Exercise Group,Robert Weibel,German,GEO 243 Remote Sensing and Geographic Information Science IV
Übungen zu Raumanalyse mit GIS; Gruppe 3,GEO243.2,Exercise Group,N/A,German,GEO 243 Remote Sensing and Geographic Information Science IV
"Exkursionen Physische Geographie II, Smartphone-Exkursion ""Hydrologie Zürich""",GEO121.3,Field Trip,Jan Martin Rudolf Seibert,German,GEO 121 Physical Geography II
"Exkursionen Physische Geographie II, => ....",GEO121.3,Field Trip,Jan Martin Rudolf Seibert,German,GEO 121 Physical Geography II
Gesellschaftliche und natürliche Ressourcen,GEO122.1,Course,Christian Berndt,German,GEO 122 Human Geography II: Societal and natural resources
Übungen Gesellschaftliche und natürliche Ressourcen: Gruppe 5-8,GEO122.2,PHZH SEK I Module,Asebe Regassa Debelo,German,GEO 122 Human Geography II: Societal and natural resources
"Exercises for Introduction to Cartography and Geovisualisation, Group 1",GEO123.2,Exercise Group,Sara Irina Fabrikant,German,GEO 123  Geographic Information Science and Remote Sensing II
"Exercises for Introduction to Cartography and Geovisualisation, Group 2",GEO123.2,Exercise Group,Sara Irina Fabrikant,German,GEO 123  Geographic Information Science and Remote Sensing II
"Exercises for Introduction to Cartography and Geovisualisation, Group 3",GEO123.2,Exercise Group,Sara Irina Fabrikant,German,GEO 123  Geographic Information Science and Remote Sensing II
Raumanalyse mit GIS,GEO243.1,Course,Robert Weibel,German,GEO 243 Remote Sensing and Geographic Information Science IV
"Übungen zu Humangeographischen Methoden der Datenerhebung, Gruppe 2",GEO242.2,Exercise Group,Karin Schwiter,German,GEO 242 Human Geography IV
"Übungen zu Humangeographischen Methoden der Datenerhebung, Gruppe 3",GEO242.2,Exercise Group,Karin Schwiter,German,GEO 242 Human Geography IV
"Vertiefung Wirtschaftsgeographie: Forschungsseminar, Gruppe 1",GEO362.1,Exercise Group,Xavier Balaguer Rasillo,German,GEO 362 Advanced Economic Geography
Bachelor-Arbeit,GEO386.1,Student Work,Christian Berndt,German,GEO 386 Bachelor Thesis
Forschungsforum Biogeochemistry and Landscape Dynamics (für Doktorierende),GEODIPL,Seminar,Michael W.I. Schmidt,German,Research Forum on Soil Science (for PhD)
Research Colloquium Economic Geography (for MSc and PhD Students),GEODIPL,Colloquium,Christian Berndt,"German, English",GEO 511 Master Thesis
Macugnaga Exkursion,GEO705.1,Field Trip,Christian Huggel,German,GEO 705 Macugnaga Excursion
"Hydrologie, Klima und Atmosphäre",GEO121.1,Lecture with Practical Exercises,Jan Martin Rudolf Seibert,German,GEO 121 Physical Geography II
Besprechung zu den Übungen und Exkursionen zu Physischen Geographie II,GEO121.4,Field Trip,Jan Martin Rudolf Seibert,German,GEO 121 Physical Geography II
"Übungen zu Humangeographischen Methoden der Datenerhebung, Gruppe 4",GEO242.2,Exercise Group,Karin Schwiter,German,GEO 242 Human Geography IV
Urban Geography: Research and Methods,GEO422.1,Seminar,Hanna Hilbrandt,"German, English",GEO 422 Urban Geography: Research and Methods
Computational Movement Analysis – Detecting Patterns and Trends in Environmental Data,GEO880.1,Lecture with Practical Exercises,Patrick Laube,English,GEO 880 Computational Movement Analysis – Detecting Patterns and Trends in
Selbstorganisiertes Seminar,GEO838.1,Seminar,Asebe Regassa Debelo,"German, English",GEO 838 Self-organised Seminar
Remote Sensing of Water Systems,GEO374.1,Lecture with Practical Exercises,Alexander Damm-Reiser,"German, English",GEO 374 Remote Sensing and Geographic Information Science V (Remote Sensing of
Uebungen zu Grundlagen Boden-Pflanze-Umwelt; Gruppe 4,GEO241.2,Exercise Group,Michael W.I. Schmidt,German,GEO 241 Physical Geography IV
"GGP.S460 Welt im Wandel, Vertiefung I Geographie, Gruppe A",GEO904.1,PHZH SEK I Module,Holger Rudolf Frey,German,"GGP.S460 A Changing World, Consolidation I in Geography"
Global Economic Geographies of Agriculture and Food Systems,GEO433.1,Seminar,Christian Berndt,English,GEO 433 Global Economic Geographies of Agriculture and Food Systems
Advanced Spatial Analysis II,GEO881.1,Lecture with Practical Exercises,Cheng Fu,English,GEO 881 Advanced Spatial Analysis II
Land Change Science,ESS246.1,Course,Maria J. Santos,English,ESS 246 Land Change Science
Remote Sensing of the Atmosphere,ESS367.1,Lecture with Practical Exercises,Gerrit Kuhlmann,"German, English",ESS 367 Remote Sensing of the Atmosphere
