Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Single Major 120 Theology,,https://www.trf.uzh.ch/studierende/modulkataloge_ma.html,Faculty of Theology and the Study of Religion,Konrad Schmid,,Master of Theology UZH Bologna 2020
Doctoral Program Neuroscience,English,https://www.mnf.uzh.ch/en/studium/reglemente.html,Faculty of Science,Wolfgang Knecht,Heidi Gauss,Joint Doctorate at the Faculty of Science of the UZH and the ETH Zurich
Single Major 120 Film Studies Network Cinema CH,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Film Studies,Margrit Tröhler,Matthias Brütsch,Master of Arts in Film Studies
Individual Doctorate Political Sciences,"English, German",,Department of Political Science,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Gender Studies,,,Faculty of Arts and Social Sciences,,,Doctorate Faculty of Arts and Social Sciences
Major 150 Biomedicine,"German, English",,Faculty of Science,Lubor Borsig,Sabine Jacob Sempach,Bachelor of Science Faculty of Science (2021)
Teaching Subject 1 Religion (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject Religion (ein Unter richtsfach),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Additional Teaching Subject Religion,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Doctoral Program Cancer Biology,,,Faculty of Science,,,Joint Doctorate at the Faculty of Science of the UZH and the ETH Zurich
Single Major 180 Law,"German, English, French",http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Felix Bommer,,Bachelor of Law UZH (RVO21)
Single Major 90 Law,"German, English",http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Felix Bommer,,"Master of Law UZH (Double Degree King's College London, RVO21); Master of Law UZH (Double Degree UC Berkeley School of Law, RVO21); Master of Law UZH (Double Degree Universiteit Maastricht, RVO21); Master of Law UZH (Double Degree University of Hong Kong, RVO21); Master of Law UZH (Double Degree Doshisha University, RVO21); Master of Law UZH (Double Degree University of Amsterdam, RVO21); Master of Law UZH (Double Degree Université de Strasbourg, RVO21); Master of Law UZH (Double Degree University of Johannesburg, RVO21); Master of Law UZH (Double Degree YU Cardozo School of Law, RVO21)"
Single Major 90 International and Comparative Law,English,http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Felix Bommer,,"Master of Law UZH (Double Degree King's College London, RVO21); Master of Law UZH (Double Degree UC Berkeley School of Law, RVO21); Master of Law UZH (Double Degree Universiteit Maastricht, RVO21); Master of Law UZH (Double Degree University of Hong Kong, RVO21); Master of Law UZH (Double Degree Doshisha University, RVO21); Master of Law UZH (Double Degree University of Amsterdam, RVO21); Master of Law UZH (Double Degree Université de Strasbourg, RVO21); Master of Law UZH (Double Degree University of Johannesburg, RVO21); Master of Law UZH (Double Degree YU Cardozo School of Law, RVO21)"
Single Major 90 Notariatsstudienprogramm,German,http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Ruth Arnet,,Besonderer Studiengang zur Vorbereitung auf die Notariatsprüfung des Kantons Zürich
Minor 30 Law,,http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Felix Bommer,,Master of Science Faculty of Science (120) (2021); Master of Arts UZH in Business and Economics (RVO22); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Teaching Subject 2 Additional Qualification in Vocational Education and Training,,,Institute of Education,,,Additional Qualification in Vocational Education and Training (BPZQ)
Teaching Subject Inter-/Transdisciplinary Courses,,,School for Transdisciplinary Studies,,,School for Transdisciplinary Studies
Minor 30 People-Oriented Computing,German,,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Bachelor of Science UZH in Informatics (RVO22)
Minor 30 Software Systems,"English, German",,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Bachelor of Science UZH in Informatics (RVO22)
Teaching Subject Digital Humanities,,,,,,School for Transdisciplinary Studies
Teaching Subject Working with Data,,,School for Transdisciplinary Studies,,,School for Transdisciplinary Studies
Minor 30 Information Systems for OEC,German,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 People-Oriented Computing for OEC,German,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Informatics,"German, English",https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Bachelor of Arts UZH in Business and Economics (RVO22)
Major 150 Information Systems,"English, German",https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Bachelor of Science UZH in Informatics (RVO22)
Major 150 Software Systems,German,https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Bachelor of Science UZH in Informatics (RVO22)
Major 120 Informatics with Natural Sciences,"German, English",https://www.oec.uzh.ch/en/studies/general/regulations.html,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Bachelor of Science UZH in Informatics (RVO22)
Minor 30 Information Systems,"German, English",,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Bachelor of Science UZH in Informatics (RVO22)
Minor 30 Economics,English,,"Faculty of Business, Economics and Informatics",Ulrich Woitek,Sonja Verel,Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Business Administration,"German, English",,"Faculty of Business, Economics and Informatics",Egon-Peter Franck,Jasmin De Clercq,Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Banking and Finance,English,,"Faculty of Business, Economics and Informatics",Per Östberg,Benjamin Wilding,Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Informatics,English,,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020
Minor 30 Data Science,English,,"Faculty of Business, Economics and Informatics",Michael Hanspeter Böhlen,Daniela Bärtschi,Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19)
Teaching Subject Open Science,,,School for Transdisciplinary Studies,,,School for Transdisciplinary Studies
Minor 30 Computational Science,"German, English",,Faculty of Science,Joachim Gerhard Stadel,,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Computational Science,"German, English",,,,,Bachelor of Science Faculty of Science (2021)
Minor 30 Computational Science,"German, English",,Faculty of Science,Joachim Gerhard Stadel,,Page 2 of 2; Master of Science Faculty of Science (120) (2021)
Single Major 90 Interdisciplinary Brain Sciences,English,,Faculty of Science,Theofanis Karayannis,Sophie Leslie Masneuf,Joint Degree Master of Science UZH ETH in Interdisciplinary Brain Sciences
Major 90 Information Systems (Fast Track),English,https://www.oec.uzh.ch/en/studies/general/regulations.html,,,,Master of Science UZH in Informatics (PVO08)
Major 90 Software Systems (Fast Track),English,https://www.oec.uzh.ch/en/studies/general/regulations.html,,,,Master of Science UZH in Informatics (PVO08)
Major 90 People-Oriented Computing (Fast Track),English,https://www.oec.uzh.ch/en/studies/general/regulations.html,,,,Master of Science UZH in Informatics (PVO08)
Major 90 Data Science (Fast Track),English,https://www.oec.uzh.ch/en/studies/general/regulations.html,,,,Master of Science UZH in Informatics (PVO08)
Single Major 90 Fachdidaktik Naturwissenschaften,,,,,,Master of Arts PHZH UZH ETH in Science Education
Single Major 90 Fachdidaktik Schulsprache Deutsch,,,,,,Master of Arts PHZH UZH in Teaching German
Single Major 90 Fachdidaktik Medien und Informatik,,,,,,Joint Degree Masterstudiengang in Fachdidaktik Medien und Informatik (PHSZ UZH PH Luzern HSLU)
Minor 30 Biology,"German, English",,Faculty of Science,Konrad Basler,Karin Isler,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19)
Minor 60 Biology,"English, German",,Faculty of Science,Konrad Basler,Karin Isler,Bachelor of Science UZH in Informatics (RVO22)
Minor 60 Biomedicine,"English, German",,Faculty of Science,Lubor Borsig,Sabine Jacob Sempach,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020
Doctoral Program Biomedical Ethics and Law/Medical Track,English,,Faculty of Medicine,,,Doctorate Medical Sciences (PromVO 22)
Doctoral Program Care and Rehabilitation Sciences,,,,,,Doctorate Medical Sciences (PromVO 22)
Doctoral Program Clinical Science,,,,,,Doctorate Medical Sciences (PromVO 22)
Major 90 German Literature: Theory – Analysis – Transfer,German,,Department of German and Scandinavian Studies,,Charlotte Schweri Litscher,Master of Arts (RVO19)
Concentration Ecology,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Systematics and Evolution,English,,Faculty of Science,,,Master of Science Faculty of Science (120) (2021)
Concentration Ecology,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Concentration Systematics and Evolution,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Major 90 Biodiversity,English,,Faculty of Science,Seyfi Arpat Ozgul,Claudia Hegglin Braun,Master of Science Faculty of Science (120) (2021)
Single Major 90 Biodiversity,English,,Faculty of Science,Seyfi Arpat Ozgul,Claudia Hegglin Braun,Master of Science Faculty of Science (90) (2021)
Single Major 120 Linguistics,"English, German, French",https://www.phil.uzh.ch/de/studium/dokumente.html,Zurich Center for Linguistics,Marianne Hundt,Lorena Maria Schneider,Page 2 of 2; Master of Arts (RVO19)
Doctoral Program Imaging Sciences in Medicine,"German, English",,Faculty of Medicine,,,Doctorate Medical Sciences (PromVO 22)
Single Major 90 Law,"German, French, English",http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Felix Bommer,,Master of Law UZH (RVO21)
Single Major 90 International and Comparative Law,English,http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Felix Bommer,,Master of Law UZH (RVO21)
Minor 30 Law,,http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Felix Bommer,,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Science Faculty of Science (2021); Bachelor of Arts UZH in Business and Economics (RVO22); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 60 Law,,http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Felix Bommer,,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Single Major 90 Law,,http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Felix Bommer,,"Master of Law UZH (Double Degree Universiteit Leuven, RVO21)"
Single Major 90 International and Comparative Law,,http://www.ius.uzh.ch/de/faculty/rsjur.html,Faculty of Law,Felix Bommer,,"Master of Law UZH (Double Degree Universiteit Leuven, RVO21)"
Major 90 Quantitative Environmental Sciences (specialized Master),English,,Faculty of Science,Jordi Bascompte,Claudia Hegglin Braun,Master of Science Faculty of Science (120) (2021)
Single Major 90 Quantitative Environmental Sciences (specialized Master),English,,Faculty of Science,Jordi Bascompte,Claudia Hegglin Braun,Master of Science Faculty of Science (90) (2021)
Minor 30 Financial Mathematics,,,Faculty of Science,Delia Coculescu,Maja Bettina Schärer,Bachelor of Science Faculty of Science (2021)
Minor 30 Financial Mathematics,,,Faculty of Science,Delia Coculescu,Maja Bettina Schärer,Master of Science Faculty of Science (120) (2021)
Minor 30 Financial Mathematics,,,Faculty of Science,Delia Coculescu,Maja Bettina Schärer,Bachelor of Science UZH in Informatics (RVO22); Bachelor of Arts UZH in Business and Economics (RVO22)
Minor 30 Financial Mathematics,,,Faculty of Science,Delia Coculescu,Maja Bettina Schärer,Master of Arts in Ancient Judaism (JDP); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 60 Japanese Studies (2024),,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020
Minor 60 Japanese Studies (2019),German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Major 120 Japanese Studies (2019),German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Bachelor of Arts (RVO19)
Major 120 Japanese Studies (2024),,,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Bachelor of Arts (RVO19)
Minor 30 Comparative Linguistics,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Comparative Language Science,Paul Widmer,Lena Dorothea Elisabeth Zipp,Page 2 of 2; Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Single Major 180 Bachelor of Arts UZH in Religious Studies and Theology,English,https://www.trf.uzh.ch/studierende/modulkataloge_ba.html,Faculty of Theology and the Study of Religion,Rafael Walthert,,Bachelor of Arts UZH in Religious Studies and Theology
Individual Doctorate Religionswissenschaft (2024),,,,,,Doctorate Faculty of Theology and the Study of Religion
Individual Doctorate Theologie (2024),,,,,,Doctorate Faculty of Theology and the Study of Religion
Doctoral Program Religionswissenschaft (2024),,,,,,Doctorate Faculty of Theology and the Study of Religion
Doctoral Program Theologie (2024),,,,,,Doctorate Faculty of Theology and the Study of Religion
Doctoral Program Study of Religions,German,,Faculty of Theology and the Study of Religion,Rafael Walthert,,Doctorate Fac. of Theol. and Study of Rel. and Fac. Arts and Social Sc.
Individual Doctorate Study of Religions,German,,Faculty of Theology and the Study of Religion,Rafael Walthert,,Doctorate Fac. of Theol. and Study of Rel. and Fac. Arts and Social Sc.
Doctoral Program Theology,German,,Faculty of Theology and the Study of Religion,Jörg Frey,,Doctorate Faculty of Theology and the Study of Religion (2010)
Individual Doctorate Study of Religions,German,,Faculty of Theology and the Study of Religion,Rafael Walthert,,Doctorate Faculty of Theology and the Study of Religion (2010)
Individual Doctorate Theology,German,,Faculty of Theology and the Study of Religion,Jörg Frey,,Doctorate Faculty of Theology and the Study of Religion (2010)
Doctoral Program Study of Religions,German,,Faculty of Theology and the Study of Religion,Rafael Walthert,,Doctorate Faculty of Theology and the Study of Religion (2010)
Single Major 120 Philosophy in Asia and the Islamic World,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,Raji Carl Ludwig Steineck,Kathrin Ensinger,Master of Arts (RVO19)
"Single Major 90 Teaching Ethics, Religions, Community",,,Institute of Education,,,"Master of Arts PHZH UZH in Teaching Ethics, Religions, Community"
Major Economics (Fast Track),,,"Faculty of Business, Economics and Informatics",,,"Master of Science UZH in Business and Economics (C, PVO13)"
Major Management and Economics (Fast Track),,,,,,"Master of Science UZH in Business and Economics (C, PVO13)"
Major Betriebswirtschaftslehre (Fast Track),,,,,,"Master of Science UZH in Business and Economics (C, PVO13)"
Major Banking and Finance (Fast Track),,,,,,"Master of Science UZH in Business and Economics (C, PVO13)"
Minor 30 Digital Skills,,,School for Transdisciplinary Studies,,,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); School for Transdisciplinary Studies; Master of Arts UZH in Business and Economics (RVO22); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
