Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Major 90 Theology,,https://www.trf.uzh.ch/studierende/modulkataloge_ma.html,Faculty of Theology and the Study of Religion,Konrad Schmid,,Master of Theology UZH Bologna 2020
Minor 30 Philosophy of Religion/Religion and Science,,https://www.trf.uzh.ch/studierende/modulkataloge_ma.html,Faculty of Theology and the Study of Religion,Matthias D. Wüthrich,,Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 60 Islamic Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19)
Minor 60 Sinology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19)
Minor 60 History,"English, German",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19)
Minor 60 Modern History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19)
Minor 60 Art History,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Art History,Bärbel Küster,Vera Isaiasz,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 60 East Asian Art History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Art History,Bärbel Küster,Vera Isaiasz,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 60 Musicology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Musicology,Inga Mai Groote,Esma Cerkovnik,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 60 Film Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Film Studies,Daniel Johannes Wiegand,Matthias Brütsch,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
