Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module,Weekday,Daytime,Start Time,End Time
Physical Chemistry II: Molecular Structure and Spectroscopy,CHE206.1,Course,Peter Hamm,German,CHE 206 Physical Chemistry II: Molecular Structure and Spectroscopy,Tuesday,Morning,10,12
Exercises Physical Chemistry II,CHE206.2,Exercise Group,Peter Hamm,"German, English",CHE 206 Physical Chemistry II: Molecular Structure and Spectroscopy,Thursday,Morning,10,12
"Practical course in Synthetic Chemistry, Part 1",CHE212.1,Practical Training,"Jürg Hutter, Felix Hubertus Zelder, Ulrike Wais","German, English","CHE 213 Practical course in Synthetic Chemistry, Part 1",Monday,Afternoon,12,14
"Practical course in Synthetic Chemistry, Part 2",CHE212.2,Practical Training,"Jürg Hutter, Felix Hubertus Zelder, Ulrike Wais","German, English","CHE 214 Practical course in Synthetic Chemistry, Part 2",Monday,Afternoon,12,18
NT.S450 Fachwissenschaft Chemie 2,CHE403.1,PHZH SEK I Module,Laurent Bigler,German,NT.S450 Chemistry 2,Wednesday,Afternoon,14,16
Fundamental Aspects of Chemistry with an Educational Focus A,CHE405.1,Course,"Roger Alberto, Antonio Togni",German,CHE 405 Extended Basics of Chemistry A,Wednesday,Afternoon,17,19
CHE 301 Bachelorarbeit,CHE301.1,Student Work,"Roger Alberto, Kathrin Fenner, Karl Gademann, Peter Hamm, Jürg Hutter, Cristina Nevado Blazquez, Greta R. Patzke, Stefan Seeger, Roland K.O. Sigel, Eva Freisinger Sigel, Jason Philip Holland, Sandra Erika Luber, Pablo Marcelo Rivera Fuentes, Stanley David Tilley, Nina Hartrampf, Michal Juricek, Alexandria Deliz Liang, Laurent Bigler, Bernhard Spingler, Felix Hubertus Zelder, Oliver Zerbe, Marcella Mauri-Iannuzzi","German, English",CHE 301 Bachelor's Thesis,N/A,N/A,N/A,N/A
Bachelor's Thesis,CHE302.1,Student Work,"Roger Alberto, Kathrin Fenner, Karl Gademann, Peter Hamm, Jürg Hutter, Cristina Nevado Blazquez, Greta R. Patzke, Stefan Seeger, Roland K.O. Sigel, Eva Freisinger Sigel, Jason Philip Holland, Sandra Erika Luber, Pablo Marcelo Rivera Fuentes, Stanley David Tilley, Nina Hartrampf, Michal Juricek, Alexandria Deliz Liang, Laurent Bigler, Bernhard Spingler, Felix Hubertus Zelder, Oliver Zerbe, Marcella Mauri-Iannuzzi","German, English",CHE 302 Bachelor's Thesis,N/A,N/A,N/A,N/A
Advanced Organic Chemistry,CHE321.1,Lecture with Practical Exercises,"Cristina Nevado Blazquez, Nina Hartrampf","German, English",CHE 321 Advanced Organic Chemistry,Thursday,Morning,10,12
Reaction mechanisms and kinetics,CHE323.1,Lecture with Practical Exercises,"Roger Alberto, Ilija Coric, Felix Hubertus Zelder","German, English",CHE 323 Reaction Mechanisms and Kinetics,Monday,Morning,10,12
Chemistry of Metals in Life Processes,CHE324.1,Lecture with Practical Exercises,"Eva Freisinger Sigel, Felix Hubertus Zelder","German, English",CHE 324 Chemistry of Metals in Life Processes,Monday,Afternoon,13,14
Solid State and Materials Chemistry,CHE325.1,Lecture with Practical Exercises,Greta R. Patzke,"German, English",CHE 325 Solid State and Materials Chemistry,Wednesday,Morning,10,12
Advanced concepts of Physical Chemistry I,CHE326.1,Lecture with Practical Exercises,"Stefan Seeger, Karl-Heinz Ernst, Georg Artus","German, English",CHE 326 Advanced concepts of Physical Chemistry I,Tuesday,Morning,8,12
Advanced concepts of Physical Chemistry II: Statistical Mechanics and Molecular,SimulationsCHE327.1,Lecture with Practical Exercises,"Jürg Hutter, Marcella Mauri-Iannuzzi",English,CHE 327 Advanced concepts of Physical Chemistry II,Tuesday,Morning,8,12
Master's Thesis,CHE420.1,Student Work,"Roger Alberto, Kathrin Fenner, Karl Gademann, Peter Hamm, Jürg Hutter, Cristina Nevado Blazquez, Greta R. Patzke, Stefan Seeger, Roland K.O. Sigel, Eva Freisinger Sigel, Jason Philip Holland, Sandra Erika Luber, Pablo Marcelo Rivera Fuentes, Stanley David Tilley, Nina Hartrampf, Michal Juricek, Alexandria Deliz Liang, Laurent Bigler, Sven Hans Gohla, Bernhard Spingler, Felix Hubertus Zelder, Oliver Zerbe, Marcella Mauri-Iannuzzi, Sandro Vicente Olveira","English, German",CHE 420 Master's Thesis,N/A,N/A,N/A,N/A
"Radiochemistry, Basics and Application of Radionuclides",CHE438.1,Lecture with Practical Exercises,"Roger Alberto, Jason Philip Holland, Henrik Braband",English,"CHE 438 Radiochemistry, Basics and Application of Radionuclides",Tuesday,Afternoon,13,14
Introduction to Molecular Design and Synthesis,MDS101.1,Lecture with Practical Exercises,"Jason Philip Holland, Bernhard Spingler",English,MDS 101 Introduction to Molecular Design and Synthesis,Tuesday,Morning,10,12
Laboratory Research Project,MDS201.1,Practical Training,Bernhard Spingler,"English, German",MDS 201 Master's Research in Chemical and Molecular Sciences,N/A,N/A,N/A,N/A
Master's Thesis and Defense,MDS201.2,Student Work,Bernhard Spingler,"English, German",MDS 201 Master's Research in Chemical and Molecular Sciences,N/A,N/A,N/A,N/A
Master's Exam,MDS201.3,Examination,Bernhard Spingler,"English, German",MDS 201 Master's Research in Chemical and Molecular Sciences,N/A,N/A,N/A,N/A
Symmetry and Spectroscopy,CHE432.1,Lecture with Practical Exercises,Jan Helbing,"English, German",CHE 432 Symmetry and Spectroscopy,Monday,Morning,10,12
Advanced NMR Methods for Identification of Natural Products,CHE439.1,Lecture with Practical Exercises,Oliver Zerbe,English,CHE 439 Advanced NMR Methods for Identification of Natural Products,Friday,Morning,8,9
Structure Elucidation with Combined Spectroscopic Methods,CHE440.1,Lecture with Practical Exercises,"Ilija Coric, Laurent Bigler","English, German",CHE 440 Structure Elucidation with Combined Spectroscopic Methods,Wednesday,Morning,10,12
Department of Chemistry Seminars,CHE800.1,Seminar,"Nina Hartrampf, Michal Juricek",English,CHE 800 Department of Chemistry Seminars,Tuesday,Afternoon,16,17
Research Seminar in Inorganic Chemistry,CHE813.1,Seminar,"Roger Alberto, Greta R. Patzke, Roland K.O. Sigel, Eva Freisinger Sigel, Jason Philip Holland, Stanley David Tilley, Alexandria Deliz Liang, Bernhard Spingler, Felix Hubertus Zelder, Henrik Braband, Michal Mazal Shoshan",English,CHE 813 Research Seminar in Inorganic Chemistry,Monday,Afternoon,16,18
Research Seminar: Current Challenges in Organic Chemistry,CHE814.1,Seminar,"Karl Gademann, Cristina Nevado Blazquez, Pablo Marcelo Rivera Fuentes, Ilija Coric, Nina Hartrampf, Michal Juricek, Laurent Bigler, Oliver Zerbe, Michel Rickhaus, Peter Stacko",English,CHE 814 Research Seminar: Current Challenges in Organic Chemistry,N/A,N/A,N/A,N/A
Chemical crystallography and crystal structure determination,KRI102.1,Lecture with Practical Exercises,"Bernhard Spingler, Birger Dittrich",English,KRI 102 Chemical Crystallography II,Friday,Morning,10,12
Chemical crystallography practical course,KRI103.1,Practical Training,Bernhard Spingler,"German, English",KRI 103 Chemical Crystallography practical course,N/A,N/A,N/A,N/A
Advanced crystallography practical course,KRI104.1,Practical Training,Bernhard Spingler,"German, English",KRI 104 Advanced crystallography practical course,N/A,N/A,N/A,N/A
Communication Skills for Leaders,CMS103.1,Exercise Group,Roberto Ricardo Vogt,English,CMS 103 Communication Skills for Leaders,N/A,N/A,N/A,N/A
Management Skills for Business Excellence,CMS104.1,Exercise Group,Paul-David Becker,English,CMS 104 Management Skills for Business Excellence,N/A,N/A,N/A,N/A
Leadership Skills for Executives,CMS105.1,Exercise Group,"Paul-David Becker, Roberto Ricardo Vogt",English,CMS 105 Leadership Skills for Executives,N/A,N/A,N/A,N/A
Conducting Research with Administrative Data in Economics of Education (S),DOEC1079,Seminar,Aline Bütikofer,English,Conducting Research with Administrative Data in Economics of Education (S),Monday,Afternoon,14,17
"Filmanalyse, Gruppe A",255-001a,Seminar,Philipp Brunner,German,Introduction to the Methods in Film Studies,Monday,Morning,10,13
"Filmanalyse, Gruppe B",255-001a,Seminar,Jan Sahli,German,Introduction to the Methods in Film Studies,Tuesday,Morning,10,13
"Filmanalyse, Gruppe C",255-001a,Seminar,Till Brockmann,German,Introduction to the Methods in Film Studies,Wednesday,Morning,10,13
"Tutorat, Gruppe C",255-001a,Tutorial,Jan Sahli,German,Introduction to the Methods in Film Studies,Monday,Afternoon,14,15
